ID,NrDocument,NrDocInitial,TipDoc,DocTypeXRP,DataDocEfectiva,DataScad,Semn,Moneda,AmountDoc,AmountDoc_RON,PlataPrin,CodClient,DenumireClient,ClasaClient
142577,VFDD0015973,NULL,F,INV,2022-10-24,2022-10-25,1,RON,2665.7200,2665.7200,NULL,CLI000003,Gamma Comert SRL,DISTR
142637,VFDD0016252,NULL,F,INV,2022-11-16,2022-11-16,1,RON,1311.3800,1311.3800,NULL,CLI000003,Gamma Comert SRL,DISTR
142680,VFDD001652,NULL,F,INV,2022-02-21,2022-05-19,1,RON,1654.1000,1654.1000,NULL,CLI000010,Kappa Moda SA,DISTR
142689,VFDD0016616,NULL,F,INV,2023-01-12,2023-06-12,1,RON,985.3200,985.3200,NULL,CLI000010,Kappa Moda SA,DISTR
142700,VFDD0016690,NULL,F,INV,2023-01-13,2023-04-28,1,RON,4022.2000,4022.2000,NULL,CLI000010,Kappa Moda SA,DISTR
142721,VFDD0016770,NULL,F,INV,2023-01-16,2023-05-02,1,RON,1701.7000,1701.7000,NULL,CLI000010,Kappa Moda SA,DISTR
142751,VFDD0016922,NULL,F,INV,2023-01-23,2023-06-02,1,RON,1837.3600,1837.3600,NULL,CLI000010,Kappa Moda SA,DISTR
142759,VFDD0016970,NULL,F,INV,2023-01-23,2023-05-23,1,RON,3027.3600,3027.3600,NULL,CLI000010,Kappa Moda SA,DISTR
142794,VFDD0017176,NULL,F,INV,2023-02-01,2023-05-02,1,RON,8222.9000,8222.9000,NULL,CLI000010,Kappa Moda SA,DISTR
142839,VFDD0017405,NULL,F,INV,2023-02-13,2023-05-29,1,RON,9903.1800,9903.1800,NULL,CLI000010,Kappa Moda SA,DISTR
142840,VFDD0017406,NULL,F,INV,2023-02-13,2023-02-15,1,RON,2747.1100,2747.1100,NULL,CLI000003,Gamma Comert SRL,DISTR
142843,VFDD0017424,NULL,F,INV,2023-02-14,2023-02-16,1,RON,4497.1300,4497.1300,NULL,CLI000003,Gamma Comert SRL,DISTR
142891,VFDD001762,NULL,F,INV,2022-02-24,2022-05-22,1,RON,3648.5400,3648.5400,NULL,CLI000010,Kappa Moda SA,DISTR
142901,VFDD001767,NULL,F,INV,2022-02-24,2022-02-25,1,RON,6457.4100,6457.4100,NULL,CLI000003,Gamma Comert SRL,DISTR
142932,VFDD0017804,NULL,F,INV,2023-02-23,2023-02-27,1,RON,1537.4800,1537.4800,NULL,CLI000003,Gamma Comert SRL,DISTR
142937,VFDD0017823,NULL,F,INV,2023-02-23,2023-05-24,1,RON,7239.9600,7239.9600,NULL,CLI000010,Kappa Moda SA,DISTR
142960,VFDD0017895,NULL,F,INV,2023-02-24,2023-05-25,1,RON,7925.4000,7925.4000,NULL,CLI000010,Kappa Moda SA,DISTR
143000,VFDD0018099,NULL,F,INV,2023-03-02,2023-03-06,1,RON,1220.9400,1220.9400,NULL,CLI000003,Gamma Comert SRL,DISTR
143005,VFDD0018124,NULL,F,INV,2023-03-02,2023-05-31,1,RON,2299.0800,2299.0800,NULL,CLI000010,Kappa Moda SA,DISTR
143018,VFDD001819,NULL,F,INV,2022-02-25,2022-05-25,1,RON,7832.5800,7832.5800,NULL,CLI000010,Kappa Moda SA,DISTR
143027,VFDD0018209,NULL,F,INV,2023-03-02,2023-03-06,1,RON,5568.8500,5568.8500,NULL,CLI000003,Gamma Comert SRL,DISTR
143033,VFDD0018266,NULL,F,INV,2023-03-03,2023-06-02,1,RON,5214.5800,5214.5800,NULL,CLI000010,Kappa Moda SA,DISTR
143051,VFDD0018386,NULL,F,INV,2023-03-09,2023-03-13,1,RON,2509.7100,2509.7100,NULL,CLI000003,Gamma Comert SRL,DISTR
143063,VFDD0018448,NULL,F,INV,2023-03-09,2023-06-07,1,RON,3389.1200,3389.1200,NULL,CLI000010,Kappa Moda SA,DISTR
143064,VFDD001846,NULL,F,INV,2022-02-28,2022-05-28,1,RON,1915.9000,1915.9000,NULL,CLI000010,Kappa Moda SA,DISTR
143097,VFDD0018557,NULL,F,INV,2023-03-13,2023-06-12,1,RON,1582.7000,1582.7000,NULL,CLI000010,Kappa Moda SA,DISTR
143101,VFDD0018579,NULL,F,INV,2023-03-14,2023-06-12,1,RON,1520.8200,1520.8200,NULL,CLI000010,Kappa Moda SA,DISTR
143108,VFDD0018610,NULL,F,INV,2023-03-14,2023-06-12,1,RON,3365.3200,3365.3200,NULL,CLI000010,Kappa Moda SA,DISTR
143113,VFDD0018642,NULL,F,INV,2023-03-14,2023-03-16,1,RON,4592.1000,4592.1000,NULL,CLI000003,Gamma Comert SRL,DISTR
143136,VFDD0018755,NULL,F,INV,2023-03-16,2023-06-14,1,RON,1666.0000,1666.0000,NULL,CLI000010,Kappa Moda SA,DISTR
143157,VFDD0018861,NULL,F,INV,2023-03-20,2023-03-22,1,RON,1207.3700,1207.3700,NULL,CLI000003,Gamma Comert SRL,DISTR
143171,VFDD0018919,NULL,F,INV,2023-03-20,2023-03-22,1,RON,1376.9500,1376.9500,NULL,CLI000003,Gamma Comert SRL,DISTR
143185,VFDD0018969,NULL,F,INV,2023-03-21,2023-03-23,1,RON,1639.2300,1639.2300,NULL,CLI000003,Gamma Comert SRL,DISTR
143190,VFDD0018990,NULL,F,INV,2023-03-21,2023-03-23,1,RON,1417.6500,1417.6500,NULL,CLI000003,Gamma Comert SRL,DISTR
143215,VFDD0019105,NULL,F,INV,2023-03-22,2023-06-20,1,RON,3098.7600,3098.7600,NULL,CLI000010,Kappa Moda SA,DISTR
143232,VFDD0019179,NULL,F,INV,2023-03-23,2023-03-27,1,RON,2760.6800,2760.6800,NULL,CLI000003,Gamma Comert SRL,DISTR
143267,VFDD0019328,NULL,F,INV,2023-03-27,2023-03-29,1,RON,3615.3400,3615.3400,NULL,CLI000003,Gamma Comert SRL,DISTR
