ID,DocTypeXRP,NrDocument,ITEM_CODE,ITEM_QTY,XRP_DOC_VALOARE_fara_TVA,XRP_DOC_TVA,XRP_DOC_PROCENT_TVA,XRP_DOC_VALOARE_TOTALA,XRP_LINIE_IS_WITH_VAT,XRP_LINIE_VALOARE_fara_TVA,XRP_LINIE_TVA,XRP_LINIE_PROC_TVA
3682,INV,VFDD00123897,JIKIO7111DKJI6000199,8.000000,1432.0000,272.0800,0.1900,1704.0800,LINE_INCLUDE_VAT,1432.0000,272.0800,0.1900
5008,INV,VFDD00124154,SL52000.0905380,12.000000,1032.9400,196.2600,0.1900,1229.2000,LINE_INCLUDE_VAT,131.1600,24.9200,0.1900
5009,INV,VFDD00124154,SL52000.0905369,6.000000,1032.9400,196.2600,0.1900,1229.2000,LINE_INCLUDE_VAT,65.5800,12.4600,0.1900
5010,INV,VFDD00124154,SLYD88433DS621199999,20.000000,1032.9400,196.2600,0.1900,1229.2000,LINE_INCLUDE_VAT,161.6000,30.7000,0.1900
5011,INV,VFDD00124154,SLYN03433BS661199919,2.000000,1032.9400,196.2600,0.1900,1229.2000,LINE_INCLUDE_VAT,27.5600,5.2400,0.1900
5012,INV,VFDD00124154,SLYN03433DS661199905,5.000000,1032.9400,196.2600,0.1900,1229.2000,LINE_INCLUDE_VAT,68.9000,13.0900,0.1900
5013,INV,VFDD00124154,SLYN03433DS661199907,2.000000,1032.9400,196.2600,0.1900,1229.2000,LINE_INCLUDE_VAT,27.5600,5.2400,0.1900
5014,INV,VFDD00124154,SLYN03433DS661199909,2.000000,1032.9400,196.2600,0.1900,1229.2000,LINE_INCLUDE_VAT,27.5600,5.2400,0.1900
5015,INV,VFDD00124154,SLYN03433DS661199911,3.000000,1032.9400,196.2600,0.1900,1229.2000,LINE_INCLUDE_VAT,41.3400,7.8500,0.1900
5016,INV,VFDD00124154,SLYB13433BS690499919,3.000000,1032.9400,196.2600,0.1900,1229.2000,LINE_INCLUDE_VAT,22.8000,4.3300,0.1900
5017,INV,VFDD00124154,SLYB13433DS690499905,5.000000,1032.9400,196.2600,0.1900,1229.2000,LINE_INCLUDE_VAT,38.0000,7.2200,0.1900
5018,INV,VFDD00124154,SLYB13433DS690499907,2.000000,1032.9400,196.2600,0.1900,1229.2000,LINE_INCLUDE_VAT,15.2000,2.8900,0.1900
5019,INV,VFDD00124154,SLYB13433DS690499909,5.000000,1032.9400,196.2600,0.1900,1229.2000,LINE_INCLUDE_VAT,38.0000,7.2200,0.1900
5020,INV,VFDD00124154,SLYB13433DS690499911,3.000000,1032.9400,196.2600,0.1900,1229.2000,LINE_INCLUDE_VAT,22.8000,4.3300,0.1900
5021,INV,VFDD00124154,SLYD03433DS692099903,10.000000,1032.9400,196.2600,0.1900,1229.2000,LINE_INCLUDE_VAT,38.0000,7.2200,0.1900
5022,INV,VFDD00124154,SLYD03433DS692099909,5.000000,1032.9400,196.2600,0.1900,1229.2000,LINE_INCLUDE_VAT,19.0000,3.6100,0.1900
5023,INV,VFDD00124154,SL52000.0905764,6.000000,1032.9400,196.2600,0.1900,1229.2000,LINE_INCLUDE_VAT,94.0800,17.8800,0.1900
5024,INV,VFDD00124154,SL52000.0905865,12.000000,1032.9400,196.2600,0.1900,1229.2000,LINE_INCLUDE_VAT,193.8000,36.8200,0.1900
5126,INV,VFDD00124163,7CKN01195BKCJ6000399,10.000000,34634.2000,6580.4900,0.1900,41214.6900,LINE_INCLUDE_VAT,1617.7000,307.3600,0.1900
5127,INV,VFDD00124163,7OKN01111BKWG4001099,10.000000,34634.2000,6580.4900,0.1900,41214.6900,LINE_INCLUDE_VAT,2012.7000,382.4100,0.1900
5128,INV,VFDD00124163,7QKN52115DKXS6001999,8.000000,34634.2000,6580.4900,0.1900,41214.6900,LINE_INCLUDE_VAT,1056.4000,200.7200,0.1900
5129,INV,VFDD00124163,7QKN14115DKXS6002299,8.000000,34634.2000,6580.4900,0.1900,41214.6900,LINE_INCLUDE_VAT,948.0000,180.1200,0.1900
5130,INV,VFDD00124163,7QKZ18114DKXS6002499,8.000000,34634.2000,6580.4900,0.1900,41214.6900,LINE_INCLUDE_VAT,1030.8000,195.8500,0.1900
5131,INV,VFDD00124163,7QKN03114DKXS6002599,8.000000,34634.2000,6580.4900,0.1900,41214.6900,LINE_INCLUDE_VAT,955.5200,181.5500,0.1900
5132,INV,VFDD00124163,7QKN52114DKXS6003199,8.000000,34634.2000,6580.4900,0.1900,41214.6900,LINE_INCLUDE_VAT,910.4000,172.9800,0.1900
5133,INV,VFDD00124163,7QKNC5114DKXS6003199,8.000000,34634.2000,6580.4900,0.1900,41214.6900,LINE_INCLUDE_VAT,910.4000,172.9800,0.1900
5134,INV,VFDD00124163,E6KN01111BKE62000699,20.000000,34634.2000,6580.4900,0.1900,41214.6900,LINE_INCLUDE_VAT,3329.4000,632.5900,0.1900
5135,INV,VFDD00124163,H1KN05114DKWC6000299,10.000000,34634.2000,6580.4900,0.1900,41214.6900,LINE_INCLUDE_VAT,1015.7000,192.9800,0.1900
5136,INV,VFDD00124163,H1KN18114DKWC6000299,10.000000,34634.2000,6580.4900,0.1900,41214.6900,LINE_INCLUDE_VAT,1015.7000,192.9800,0.1900
5137,INV,VFDD00124163,H1KN12114DKWC6000399,10.000000,34634.2000,6580.4900,0.1900,41214.6900,LINE_INCLUDE_VAT,987.5000,187.6300,0.1900
5138,INV,VFDD00124163,I4KZ01114BKFM6000199,10.000000,34634.2000,6580.4900,0.1900,41214.6900,LINE_INCLUDE_VAT,1015.7000,192.9800,0.1900
