ID,ITEM_CODE,ITEM_NAME,ITEM_DESCRIPTION,BRAND_ID,SEASON_ID,ITEM_TYPE_ID,CATEGORY_ID,VAT,LAST_COST_PRICE,MAIN_BARCODE,SUPPLIER_CODE,WEIGHT,UM,ACTIVE
49039,SL61000.0906813,GLANZ FIX BURETE LUCIU-SL61000.0906813,NULL,130,19,4,34,21,5.4954700000,4006103106706,6813,NULL,BUC,1
49097,SL61000.0905555,SHOE FRESH DEO-SL61000.0905555,NULL,130,19,4,34,21,10.6042000000,4006103104320,5555,NULL,BUC,1
49181,SL52000.8692943,BRANT INTERIOR DIN LANA(THERMO 6929)-SL52000.8692943,NULL,130,19,4,34,21,8.3920600000,4009736929438,2943,NULL,BUC,1
49182,SL52000.8692942,BRANT INTERIOR DIN LANA(THERMO 6929)-SL52000.8692942,NULL,130,19,4,34,21,8.3868800000,4009736929421,2942,NULL,BUC,1
49183,SL52000.8692941,BRANT INTERIOR DIN LANA(THERMO 6929)-SL52000.8692941,NULL,130,19,4,34,21,8.3920600000,4009736929414,2941,NULL,BUC,1
49184,SL52000.8692940,BRANT INTERIOR DIN LANA(THERMO 6929)-SL52000.8692940,NULL,130,19,4,34,21,8.3868800000,4009736929407,2940,NULL,BUC,1
49185,SL52000.8692939,BRANT INTERIOR DIN LANA(THERMO 6929)-SL52000.8692939,NULL,130,19,4,34,21,8.3868800000,4009736929391,2939,NULL,BUC,1
49186,SL52000.8692938,BRANT INTERIOR DIN LANA(THERMO 6929)-SL52000.8692938,NULL,130,19,4,34,21,8.3868800000,4009736929384,2938,NULL,BUC,1
49187,SL52000.8692937,BRANT INTERIOR DIN LANA(THERMO 6929)-SL52000.8692937,NULL,130,19,4,34,21,8.3868800000,4009736929377,2937,NULL,BUC,1
49188,SL52000.8692936,BRANT INTERIOR DIN LANA(THERMO 6929)-SL52000.8692936,NULL,130,19,4,34,21,8.3920600000,4009736929360,2936,NULL,BUC,1
49208,SL52000.0904532,PERIE DE LUSTRUIT-SL52000.0904532,NULL,130,19,4,34,21,8.6359700000,4009736628201,4532,NULL,BUC,1
49212,SL52000.0906625,SPRAY DE IMPREGNARE-SL52000.0906625,NULL,130,19,4,34,21,9.2063400000,4006103166250,6625,NULL,BUC,1
49214,SL52000.0905768,Curata si indeparteaza murdaria-SL52000.0905768,NULL,130,19,4,34,21,8.1854600000,4006103131531,5768,NULL,BUC,1
49218,SL52000.0905369,Crema pantofi bunt-SL52000.0905369,NULL,130,19,4,34,21,7.3379900000,4006103105006,5369,NULL,BUC,1
49219,SL52000.0905385,BRILLANT MARO INCHIS - SL52000.0905385,NULL,130,19,4,34,21,7.0935600000,4006103106256,5385,NULL,BUC,1
49220,SL52000.0905380,CREMA PANTOFI BRILLANT NEGRU-SL52000.0905380,NULL,130,19,4,34,21,7.4044800000,4006103106201,5380,NULL,BUC,1
49221,SL52000.0905865,STRETCH INCALTAMINTE AEROSOL-SL52000.0905865,NULL,130,19,4,34,21,8.4972200000,4006103104368,5865,NULL,BUC,1
49223,SL52000.0905383,BRILLANT MARO DESCHIS - SL52000.0905383,NULL,130,19,4,34,21,7.0531900000,4006103106232,5383,NULL,BUC,1
